rider_age	rider_height	with_adult
89	80	0
26	80	0
85	39	1
6	39	1
5	28	0
22	42	0
79	63	0
46	67	0
71	71	0
83	35	1
13	25	1
41	48	0
48	74	1
13	22	1
5	58	1
77	38	0
69	37	0
85	51	1
72	28	0
42	12	0
35	61	1
94	20	0
2	74	1
55	37	1
86	14	1
83	71	0
90	71	0
94	30	1
25	34	1
4	13	1
2	78	1
16	54	0
96	36	1
77	76	0
72	48	0
24	60	0
2	16	0
57	58	0
65	33	1
19	34	1
73	51	1
77	13	1
30	77	0
20	29	0
84	74	1
9	55	0
68	50	0
65	31	0
90	78	0
31	70	1
56	34	1
88	53	0
54	43	1
28	49	1
5	56	0
25	72	1
25	54	1
28	65	1
53	47	0
84	69	0
80	56	1
76	73	1
95	53	1
75	75	1
6	39	0
24	43	1
33	73	0
39	44	0
94	62	0
48	23	0
33	54	1
35	43	0
79	47	1
32	26	1
33	72	0
49	75	0
62	15	0
42	31	0
18	59	0
40	51	0
81	24	0
70	67	0
94	74	1
78	31	1
66	34	0
84	52	0
25	28	1
58	51	0
82	71	1
89	39	1
96	74	1
78	43	1
75	29	0
59	46	0
13	63	0
47	71	1
8	46	0
98	32	1
81	57	0
1	47	0
86	22	0
39	25	1
91	59	1
31	54	0
16	59	0
26	20	1
10	48	0
37	16	1
52	66	1
89	43	1
45	41	1
21	17	0
55	68	0
86	78	1
95	46	1
78	64	0
73	58	1
72	46	0
80	16	1
48	47	1
21	55	1
79	51	0
2	50	0
84	55	1
14	77	1
8	40	0
64	12	1
28	59	1
18	76	0
71	49	0
7	31	0
100	13	0
91	75	0
46	57	1
60	45	0
28	65	0
34	75	1
68	34	0
38	46	0
24	19	1
43	42	0
48	36	1
71	43	0
8	21	1
36	24	1
57	65	1
57	27	1
5	60	0
74	34	1
59	38	1
96	69	0
81	73	0
21	25	1
46	63	1
54	26	0
82	49	0
14	48	1
38	37	0
4	72	1
96	44	1
35	67	0
52	68	0
47	24	1
51	58	0
68	27	0
85	69	0
100	59	0
94	46	1
5	24	0
25	69	1
83	71	1
27	38	1
89	15	1
37	65	0
90	29	1
8	63	0
53	70	1
95	29	1
26	34	0
46	63	0
80	70	0
65	63	0
40	49	1
34	78	1
83	28	1
50	51	1
33	34	1
34	78	0
27	44	0
6	46	0
75	62	0
24	15	1
56	66	0
36	59	0
67	18	0
35	62	1
64	59	0
31	22	1
96	62	1
84	35	1
56	49	1
72	36	0
14	65	1
46	70	1
62	27	0
66	47	1
57	60	0
93	46	1
65	45	1
84	47	1
67	56	1
27	69	1
80	23	1
98	72	1
38	46	0
13	34	0
70	52	0
79	42	1
77	41	1
44	14	1
4	14	0
2	72	0
8	32	0
12	74	0
15	68	0
12	14	0
92	48	1
46	37	0
92	29	1
87	20	0
96	30	1
53	74	0
22	63	0
32	16	1
84	67	0
76	35	0
2	49	0
77	48	1
92	27	0
52	30	1
6	33	0
82	52	1
72	57	1
40	62	1
51	16	1
74	15	0
94	22	1
73	61	0
77	66	1
56	63	1
43	13	0
83	48	0
1	34	1
99	73	1
51	59	0
59	16	1
30	60	1
11	59	1
8	14	1
29	64	1
80	43	0
44	46	1
54	79	1
29	49	1
41	29	1
10	12	1
7	26	0
36	50	1
68	24	1
84	29	0
47	66	0
22	38	0
53	35	0
27	42	1
8	19	0
87	54	1
28	76	1
76	25	0
58	73	1
54	27	1
81	69	1
64	19	0
91	66	1
31	77	0
28	13	0
68	14	1
73	50	0
20	18	1
77	26	1
80	38	0
40	60	1
79	58	0
59	34	1
37	75	1
49	15	1
82	36	1
57	37	1
37	14	0
12	49	0
37	72	1
83	39	0
4	22	1
87	46	1
59	27	0
61	31	1
42	79	1
31	40	1
96	52	0
20	63	1
21	48	0
98	13	1
55	19	1
67	39	1
33	43	0
33	30	1
36	41	0
54	16	0
53	54	0
5	78	1
23	27	0
97	75	0
75	54	0
89	68	1
